Breakfast1,Breakfast2,Breakfast3,Breakfast4,Breakfast5,Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5,Score
steamed sweet potato rice (30),tofu soup,stir-fried rice with shrimp,seasoned salad with seaweed in vinegar marinade,white kimchi,S_sweet pumpkin salad (mayonnaise),S_milk (100ml),paprika rice ball with fried tofu,mandu (dumpling) soup,seasoned salad with soft crab in mayonnaise,daikon and pear salad,pickled beet,S_Sujebi,S_rice punch,steamed sweet rice (add),mushroom soup,braised chicken drumsticks in sauce,lettuce salad,radish watery kimchi,5
steamed white rice (add),potato soup,braised chicken and beef in soy sauce,stir-fried chicken tenderloin and apple,radish watery kimchi,S_rice-based beverage,S_red bean porridge,steamed chestnut bean rice (40),bean sprout soup,fresh kimchi with winter cabbage,stir-fried cucumber,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed chestnut bean rice,potato zucchini soup,braised nuts,braised konjac and quail eggs,summer radish kimchi,2
steamed white rice (add),potato soup,braised konjac and quail eggs,stir-fried cucumber,radish watery kimchi,S_red bean porridge,S_rice-based beverage,steamed chestnut bean rice,bean sprout soup,braised chicken and beef in soy sauce,fresh kimchi with winter cabbage,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed chestnut bean rice (40),potato zucchini soup,stir-fried chicken tenderloin and apple,braised nuts,summer radish kimchi,4
steamed white rice (add),potato soup,braised konjac and quail eggs,stir-fried cucumber,radish watery kimchi,S_red bean porridge,S_rice-based beverage,stir-fried rice with chicken and vegetables,bean sprout soup,apple orange salad (yoghurt dressing),empty,radish kimchi cubes,S_banana,S_milk with misugaru (mixed grain powder),steamed chestnut bean rice (40),crab soup,pan-fried shrimp and tofu,seasoned salad with broccoli and sesame,summer radish kimchi,5
Japanese beef rice bowl (gyudon),oyster mushroom soup,braised burdock slices and konjac,seasoned salad with bellflower root,radish watery kimchi,S_raisin potato bowl,S_Solomon's seal tea,steamed millet rice (30),zucchini soup,seasoned salad with sweet potato stem in soy paste,braised black beans and walnut,sweet napa cabbage watery kimchi,S_sweet potato shake,S_seaweed beef porridge,steamed sweet rice (add),mandu (dumpling) soup,braised meat ball and paprika,seasoned oyster mushroom,whole radish kimchi,1
steamed sweet rice (add),mandu (dumpling) soup,braised burdock slices and konjac,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,S_seaweed beef porridge,S_Solomon's seal tea,Japanese beef rice bowl (gyudon),oyster mushroom soup,braised black beans and walnut,seasoned salad with bellflower root,sweet napa cabbage watery kimchi,S_raisin potato bowl,S_sweet potato shake,steamed millet rice (30),zucchini soup,braised meat ball and paprika,seasoned oyster mushroom,whole radish kimchi,3
steamed sweet rice (add),mandu (dumpling) soup,braised burdock slices and konjac,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,S_sesame porridge,S_Solomon's seal tea,_anchovy rice ball,mini-udon (white wheat noodles),quail egg mayonnaise salad,empty,white kimchi,S_raisin potato bowl,S_sweet potato shake,steamed millet rice (30),zucchini soup,braised meat ball and paprika,seasoned oyster mushroom,pickled beet,5
steamed red bean rice (30),tofu stew,vegetables croquette,scrambled eggs with soft crab,summer radish watery kimchi,S_rice-based beverage,S_soft tofu salad (oriental dressing),rice bowl with beef and aubergine,kimchi soup,dried radish,seasoned winter mushroom,cucumber kimchi,S_beef burdock porridge,S_milk (100ml),steamed chestnut bean rice,mushroom chive soup,seasoned salad with Korean melon and overripe cucumber,stir-fried zucchini and dried shrimp,radish kimchi cubes,1
steamed red bean rice (30),kimchi soup,stir-fried zucchini and dried shrimp,seasoned winter mushroom,summer radish watery kimchi,S_beef burdock porridge,S_rice-based beverage,rice bowl with beef and aubergine,mushroom chive soup,dried radish,vegetables croquette,cucumber kimchi,S_soft tofu salad (oriental dressing),S_milk (100ml),steamed chestnut bean rice,tofu stew,scrambled eggs with soft crab,seasoned salad with Korean melon and overripe cucumber,radish kimchi cubes,2
steamed millet rice (40),rice cake soup,stir-fried zucchini and dried shrimp,seasoned cucumber,radish kimchi cubes,S_sweet potato salad with crushed nuts (yoghurt),S_milk (100ml),beef daikon rice + marinade sauce,mushroom chive soup,vegetables croquette,empty,pickled beet,S_soft tofu salad (oriental dressing),S_milk (100ml),steamed corn rice,tofu stew,scrambled eggs with soft crab,seasoned salad with apple and lettuce,white kimchi,5
steamed millet rice (30),mandu (dumpling) soup,seasoned oyster mushroom,stir-fried dried shrimp and zucchini,whole radish kimchi,S_macaroni and vegetables salad,S_homestyle banana milk,curried rice with beef,zucchini soup,seasoned salad with sweet potato stem in soy paste,stir-fried beef brisket and green bean sprout,kohlrabi watery kimchi,S_pan-fried vegetables,S_tomato juice,steamed corn rice,mini-ball rice cake seaweed soup,stir-fried beef and bokchoy,stir-fried winter mushroom,summer radish kimchi,2
steamed millet rice (30),mandu (dumpling) soup,stir-fried beef and bokchoy,stir-fried dried shrimp and zucchini,whole radish kimchi,S_macaroni and vegetables salad,S_homestyle banana milk,curried rice with beef,zucchini soup,stir-fried dried shrimp and zucchini,stir-fried winter mushroom,kohlrabi watery kimchi,S_pan-fried vegetables,S_tomato juice,steamed corn rice,mini-ball rice cake seaweed soup,stir-fried beef brisket and green bean sprout,seasoned salad with sweet potato stem in soy paste,summer radish kimchi,3
steamed millet rice (30),clam soup,stir-fried beef and bokchoy,seasoned perilla leaf,whole radish kimchi,S_macaroni and vegetables salad,S_homestyle banana milk,Mapa tofu rice bowl (mild flavor),zucchini soup,seasoned salad with sedum in yuzu marinade,empty,kohlrabi watery kimchi,S_sweet potato dango,S_milk (100ml),steamed corn rice,cod soup,stir-fried beef brisket and green bean sprout,seasoned salad with sweet potato stem in soy paste,summer radish kimchi,5
steamed corn rice (30),oyster mushroom soup,steamed aubergine with marinade sauce,braised black beans and walnut,radish kimchi cubes,S_raisin potato bowl,S_sweet potato shake,steamed sweet rice,tofu stew,seasoned salad with aubergine in marinade sauce,steamed aubergine in marinade sauce,pickled beet,S_rice-based beverage,S_cream sauce spaghetti,Japanese beef rice bowl (gyudon),seaweed mandu (dumpling) soup,daikon and pear salad,stir-fried zucchini,perilla leaf kimchi,2
steamed corn rice (30),seaweed mandu (dumpling) soup,braised black beans and walnut,daikon and pear salad,radish kimchi cubes,S_raisin potato bowl,S_sweet potato shake,Japanese beef rice bowl (gyudon),tofu stew,seasoned salad with aubergine in marinade sauce,stir-fried zucchini,pickled beet,S_cream sauce spaghetti,S_rice-based beverage,steamed sweet rice,oyster mushroom soup,steamed aubergine in marinade sauce,steamed aubergine with marinade sauce,perilla leaf kimchi,3
steamed corn rice (30),seaweed mandu (dumpling) soup,braised black beans,daikon and pear salad,radish kimchi cubes,S_raisin potato bowl,S_milk (200ml),Japanese beef rice bowl (gyudon),oyster mushroom soup,pan-fried napa cabbage,empty,pickled beet,S_cream sauce spaghetti,S_rice-based beverage,steamed sweet rice,tofu stew,stir-fried chicken and broccoli,lotus root and black sesame salad,white kimchi,5
steamed sweet rice (add),potato soup,cucumber kimchi,barbequed beef and bokchoy,radish kimchi cubes,S_mango juice,S_soft tofu salad (oriental dressing),steamed brown sweet rice,red bean porridge,pan-fried potato and chive,cabbage salad (sesame dressing),radish watery kimchi,S_milk with misugaru (mixed grain powder),S_soft crab cheese porridge,steamed brown sweet rice,octopus soup,stir-fried mini-Saesongyi mushroom,fresh kimchi with chicory,whole radish kimchi,1
steamed sweet rice (add),red bean porridge,stir-fried mini-Saesongyi mushroom,cabbage salad (sesame dressing),radish kimchi cubes,S_soft crab cheese porridge,S_mango juice,steamed brown sweet rice,octopus soup,barbequed beef and bokchoy,fresh kimchi with chicory,radish watery kimchi,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed brown sweet rice,potato soup,cucumber kimchi,pan-fried potato and chive,whole radish kimchi,2
steamed sweet rice (add),tofu soup,stir-fried mini-Saesongyi mushroom,cabbage salad (sesame dressing),radish kimchi cubes,S_soft crab cheese porridge,S_mango juice,steamed brown sweet rice,octopus soup,barbequed beef and bokchoy,fresh kimchi with chicory,radish watery kimchi,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed brown sweet rice,potato soup,egg green bean sprout salad,pan-fried zucchini,whole radish kimchi,5
steamed sweet potato rice (30),clam soup,stir-fried burdock and glass noodles,braised tofu and peanut,pickled beet,S_banana (100g),S_walnut milk,steamed white bean rice,bean powder mugwort  soup,steamed chicken,scrambled eggs with soft crab,radish watery kimchi,S_sweet pumpkin rice punch,empty,deluxe rice with Pyogo mushroom and chwinamul,clam soft tofu soup,fresh kimchi with spring parsley and pear,stir-fried dried shrimp,white kimchi,2
steamed sweet potato rice (30),clam soft tofu soup,stir-fried dried shrimp,braised tofu and peanut,pickled beet,S_banana (100g),S_walnut milk,deluxe rice with Pyogo mushroom and chwinamul,clam soup,scrambled eggs with soft crab,stir-fried burdock and glass noodles,radish watery kimchi,empty,S_sweet pumpkin rice punch,steamed white bean rice,bean powder mugwort  soup,steamed chicken,fresh kimchi with spring parsley and pear,white kimchi,3
steamed sweet potato rice (30),soft tofu soup,braised shrimp and lotus root,seasoned salad with broccoli in sesame sauce,pickled beet,S_banana (100g),S_walnut milk,deluxe rice with Pyogo mushroom and chwinamul,clam soup,pan-fried tuna with perilla leaves,empty,radish watery kimchi,S_snow white rice cake,S_sweet pumpkin rice punch,steamed millet rice (30),bean powder mugwort  soup,steamed chicken,fresh kimchi with spring parsley and pear,white kimchi,5
steamed sweet rice,mung bean jelly soup,stir-fried sweet potato stem,bean sprout and mung bean jelly salad,radish kimchi cubes,S_peach walnut smoothie,S_seaweed beef porridge,pork cabbage rice bowl,oyster mushroom soup,seasoned zucchini,steamed aubergine in marinade sauce,summer radish kimchi,S_rice-based beverage,S_Korean melon salad,steamed chestnut bean rice (30),mandu (dumpling) chicken stew,steamed aubergine with marinade sauce,stir-fried zucchini,whole radish kimchi,2
steamed chestnut bean rice (30),mung bean jelly soup,steamed aubergine with marinade sauce,stir-fried sweet potato stem,radish kimchi cubes,S_seaweed beef porridge,S_rice-based beverage,pork cabbage rice bowl,oyster mushroom soup,bean sprout and mung bean jelly salad,seasoned zucchini,summer radish kimchi,S_Korean melon salad,S_peach walnut smoothie,steamed sweet rice,mandu (dumpling) chicken stew,seasoned zucchini,stir-fried zucchini,whole radish kimchi,3
steamed chestnut bean rice (30),mung bean jelly soup,steamed aubergine with marinade sauce,stir-fried sweet potato stem,radish kimchi cubes,S_carrot soup,S_rice-based beverage,pork cabbage rice bowl,oyster mushroom soup,parboiled cuttlefish and broccoli,empty,summer radish kimchi,S_Korean melon salad,S_milk (200ml),steamed sweet rice,mandu (dumpling) chicken stew,pan-fried sea lettuce,seasoned zucchini,whole radish kimchi,5
Bibimbap with pork and kimchi,potato zucchini soup,braised chicken and beef in soy sauce,stir-fried chicken tenderloin and apple,kohlrabi watery kimchi,S_orange juice (sugar-free),S_red bean porridge,steamed sweet rice (add),bean sprout soup,braised konjac and quail eggs,stir-fried cucumber,winter cabbage kimchi,S_milk with misugaru (mixed grain powder),S_soft tofu salad (oriental dressing),steamed chestnut bean rice (40),potato soup,fresh kimchi with winter cabbage,braised nuts,radish watery kimchi,1
steamed sweet rice (add),potato soup,braised konjac and quail eggs,stir-fried cucumber,kohlrabi watery kimchi,S_red bean porridge,S_orange juice (sugar-free),Bibimbap with pork and kimchi,bean sprout soup,stir-fried chicken tenderloin and apple,braised nuts,winter cabbage kimchi,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed chestnut bean rice (40),potato zucchini soup,braised chicken and beef in soy sauce,fresh kimchi with winter cabbage,radish watery kimchi,4
steamed sweet rice,potato soup,braised konjac and quail eggs,stir-fried cucumber,kohlrabi watery kimchi,S_red bean porridge,S_orange juice (sugar-free),Bibimbap with pork and kimchi,bean sprout soup,stir-fried chicken tenderloin and apple,empty,winter cabbage kimchi,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed chestnut bean rice (40),shellfish soup,roasted smoked duck,fresh kimchi with winter cabbage,radish watery kimchi,5
steamed millet rice (30),Sujebi with curled mallow,seasoned winter mushroom and chive,braised pork belly in ketchup,radish kimchi cubes,S_acorn jelly soup with rice,S_rice-based beverage,steamed white rice (add),mini-ball rice cake seaweed soup,vegetables croquette,steamed eggs,radish watery kimchi,S_Korean melon salad,S_milk (100ml),steamed chestnut bean rice,zucchini tofu salted shrimp soup or stew,stir-fried dried shrimp and zucchini,dried radish,pickled beet,1
steamed millet rice (30),zucchini tofu salted shrimp soup or stew,stir-fried dried shrimp and zucchini,dried radish,radish kimchi cubes,S_Korean melon salad,S_milk (100ml),steamed chestnut bean rice,mini-ball rice cake seaweed soup,braised pork belly in ketchup,seasoned winter mushroom and chive,radish watery kimchi,S_acorn jelly soup with rice,S_rice-based beverage,steamed white rice (add),Sujebi with curled mallow,steamed eggs,vegetables croquette,pickled beet,3
steamed millet rice (30),soft tofu soup (mild flavor),stir-fried potato and paprika,dried radish,white kimchi,S_Korean melon salad,S_milk (100ml),steamed chestnut bean rice,dried pollack seaweed soup,braised pork belly in ketchup,seasoned winter mushroom and chive,pickled beet,S_acorn jelly soup with rice,S_rice-based beverage,steamed white rice (add),Sujebi,steamed eggs,vegetables croquette,radish kimchi cubes,5
stir-fried rice with soft crab,pollack stew,seasoned salad with cabbage in soy red chilli paste,fried eggs with tofu,kohlrabi watery kimchi,S_Fusilli salad,S_orange juice,steamed sweet potato rice,clam soup,braised quail eggs in soy sauce,pan-fried winter mushroom with eggs,whole radish kimchi,S_jujube milk soup,S_milk (200ml),steamed white bean rice (40),salted shrimp soup or stew,fresh kimchi with lettuce and wild chive,pan-fried mung bean and kimchi,summer radish kimchi,1
